Name,Fall,Year,Place,Type,Mass,Lat, Long,
Dordrecht (stone),TRUE,1808,"Zuid-Holland, Netherlands",Doubtful meteorite,,-86.71667,-141.5,
Lissa,TRUE,1808,"Stredocesky, Czech Republic",L6,12.8 kg,-86.71667,-141.5,
Moradabad,TRUE,1808,"Uttar Pradesh, India",L6,70 g,-86.71667,-141.5,
Stannern,TRUE,1808,"Vysocina, Czech Republic",Eucrite-mmict,52 kg,-86.56667,-165.11667,
Red River,FALSE,1808,"Texas, USA","Iron, IIIAB",800 kg,-86.56667,-165.11667,
Tiree,FALSE,1808,"Scotland, UK",Doubtful OC,3.5 g,-86.56667,-165.11667,
Leroy,FALSE,1925,,Pseudometeorite,102 g,-86.50994,-122.96137,
Northwest Africa 967,FALSE,1929,(Northwest Africa),Unknown,120 g,-85.67649,-69.08277,
Northwest Africa 3176,FALSE,1824,(Northwest Africa),Unknown,262 g,-85.67442,-68.97933,
Northwest Africa 1363,FALSE,1939,(Northwest Africa),Unknown,208 g,-85.66667,175,
Northwest Africa 5706,FALSE,1997,(Northwest Africa),Unknown,10.44 kg,-85.65094,-69.081,
Northwest Africa 2735,FALSE,1971,(Northwest Africa),Unknown,,-84.27378,161.68545,
Northwest Africa 914,FALSE,1902,(Northwest Africa),Unknown,2.17 kg,-86.56667,-165.11667,
Kikino,TRUE,1809,"Smolenskaya oblast', Russia",H6,195 g,-86.56667,-165.11667,
Atlantic Ocean,FALSE,1809,,Doubtful meteorite,170 g,-86.56667,-165.11667,
Northwest Africa 5628,FALSE,1883,(Northwest Africa),Unknown,4.26 kg,-85.67808,-69.06362,
Northwest Africa 1332,FALSE,1901,(Northwest Africa),Unknown,243 g,-85.66667,175,
Jiddat al Harasis 767,FALSE,1976,"Al Wusta, Oman",L4,91 g,-84.35231,161.20166,
Northwest Africa 5493,FALSE,1877,(Northwest Africa),Unknown,497 g,-84.27347,161.41274,
Northwest Africa 813,FALSE,1847,(Northwest Africa),Unknown,835 g,-84.26939,161.3959,
Northwest Africa 5292,FALSE,1955,(Northwest Africa),Unknown,235 g,-84.26731,161.42471,
Wiltshire** [also calledLake House],FALSE,1863,"England, UK",H5,92.75 kg,-84.21667,160.5,
Caswell County,TRUE,1810,"North Carolina, USA",OC,1360 g,-86.56667,-165.11667,
Charsonville,TRUE,1810,"Centre, France",H6,27 kg,-86.56667,-165.11667,
Mooresfort,TRUE,1810,"Munster, Ireland",H5,3.52 kg,-86.56667,-165.11667,
Brahin**,FALSE,1810,"Gomel', Belarus","Pallasite, PMG",823 kg,-86.56667,-165.11667,
Santa Rosa,FALSE,1810,"Boyaca, Colombia","Iron, IC",825 kg,-86.56667,-165.11667,
Northwest Africa 5621,FALSE,1991,(Northwest Africa),Unknown,268 g,-86.36667,-70,
Northwest Africa 3217,FALSE,1908,(Northwest Africa),Unknown,,-85.68266,-68.32954,
Northwest Africa 5293,FALSE,1809,(Northwest Africa),Unknown,285 g,-85.66039,-68.4373,
Northwest Africa 5681,FALSE,1933,(Northwest Africa),Unknown,38 g,-84.61319,162.38976,
Northwest Africa 1280,FALSE,1956,(Northwest Africa),Unknown,280 g,-84.59484,162.29838,
Northwest Africa 5815,FALSE,1807,(Northwest Africa),L5,257 g,-84.57583,162.56931,
Northwest Africa 1452,FALSE,1866,(Northwest Africa),Unknown,53.7 g,-84.28027,161.34666,
Northwest Africa 675,FALSE,1945,(Northwest Africa),Unknown,89 g,-84.23224,161.57817,
Northwest Africa 802,FALSE,2003,(Northwest Africa),Unknown,58.2 g,-84,168,
Northwest Africa 1340,FALSE,1987,(Northwest Africa),Unknown,45 g,-72,26,
Northwest Africa 127,FALSE,2002,(Northwest Africa),Unknown,48.4 g,-86.71667,-141.5,
Northwest Africa 3040,FALSE,1821,(Northwest Africa),Unknown,986 g,-86.71667,-141.5,
Berlanguillas,TRUE,1811,"Castilla y Leon, Spain",L6,1440 g,-86.52607,-123.69857,
Kuleschovka,TRUE,1811,"Sumy, Ukraine",L6,6 kg,-86.52309,-123.96975,
Punganaru,TRUE,1811,"Andhra Pradesh, India",Stone-uncl,100 g,-86.52308,-123.97255,
Shalatein 000,FALSE,1863,Egypt,Reserved,,-85.69089,-69.03401,
Dhofar 1204,FALSE,1875,Oman,Unknown,,-85.65764,-68.6496,
Northwest Africa 486,FALSE,1948,(Northwest Africa),Unknown,77 g,-84.63075,162.5255,
Northwest Africa 993,FALSE,1861,(Northwest Africa),Unknown,18 g,-84.58572,162.58007,
Northwest Africa 747,FALSE,2011,(Northwest Africa),Unknown,25.5 g,-84.2933,161.32152,
Northwest Africa 2403,FALSE,1813,(Northwest Africa),Unknown,,-84.27689,161.40813,
Northwest Africa 4098,FALSE,1994,(Northwest Africa),L4/5,1470 g,-84.25061,161.40731,
Northwest Africa 5442,FALSE,1942,(Northwest Africa),Unknown,2.01 kg,-84,168,
Borodino,TRUE,1812,"Moskovskaya oblast', Russia",H5,500 g,-86.47899,-123.42924,
Chantonnay,TRUE,1812,"Centre, France",L6,31.5 kg,-86.46973,-123.46349,
Erxleben,TRUE,1812,"Sachsen-Anhalt, Germany",H6,2.25 kg,-86.45,-165.43333,
Toulouse,TRUE,1812,"Midi-Pyrenees, France",H6,1030 g,-86.45,-165.43333,
Jiddat al Harasis 790,FALSE,1969,"Al Wusta, Oman",L6,868 g,-86.36667,-70,
Northwest Africa 633,FALSE,1995,(Northwest Africa),Unknown,79 g,-86.36667,-70,
Northwest Africa 759,FALSE,1869,(Northwest Africa),Unknown,523 g,-85.67932,-68.60506,
